PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=368 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=369 ttl=64 time=9.91 ms
64 bytes from 10.0.0.2: icmp_seq=370 ttl=64 time=8.56 ms
64 bytes from 10.0.0.2: icmp_seq=372 ttl=64 time=13.4 ms
64 bytes from 10.0.0.2: icmp_seq=373 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=374 ttl=64 time=6.65 ms
64 bytes from 10.0.0.2: icmp_seq=376 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=377 ttl=64 time=9.61 ms
64 bytes from 10.0.0.2: icmp_seq=378 ttl=64 time=10.3 ms
64 bytes from 10.0.0.2: icmp_seq=380 ttl=64 time=9.78 ms
64 bytes from 10.0.0.2: icmp_seq=381 ttl=64 time=9.80 ms
64 bytes from 10.0.0.2: icmp_seq=384 ttl=64 time=7.20 ms
64 bytes from 10.0.0.2: icmp_seq=385 ttl=64 time=9.08 ms
64 bytes from 10.0.0.2: icmp_seq=386 ttl=64 time=8.50 ms
64 bytes from 10.0.0.2: icmp_seq=388 ttl=64 time=9.24 ms
64 bytes from 10.0.0.2: icmp_seq=389 ttl=64 time=7.54 ms
64 bytes from 10.0.0.2: icmp_seq=391 ttl=64 time=13.8 ms
64 bytes from 10.0.0.2: icmp_seq=392 ttl=64 time=6.72 ms
64 bytes from 10.0.0.2: icmp_seq=394 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=395 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=397 ttl=64 time=8.42 ms
64 bytes from 10.0.0.2: icmp_seq=399 ttl=64 time=10.6 ms
64 bytes from 10.0.0.2: icmp_seq=400 ttl=64 time=8.04 ms
64 bytes from 10.0.0.2: icmp_seq=401 ttl=64 time=12.2 ms
64 bytes from 10.0.0.2: icmp_seq=402 ttl=64 time=14.8 ms
64 bytes from 10.0.0.2: icmp_seq=403 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=404 ttl=64 time=11.4 ms
64 bytes from 10.0.0.2: icmp_seq=406 ttl=64 time=14.4 ms
64 bytes from 10.0.0.2: icmp_seq=407 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=408 ttl=64 time=7.24 ms
64 bytes from 10.0.0.2: icmp_seq=410 ttl=64 time=20.7 ms
64 bytes from 10.0.0.2: icmp_seq=411 ttl=64 time=7.40 ms
64 bytes from 10.0.0.2: icmp_seq=413 ttl=64 time=10.9 ms
64 bytes from 10.0.0.2: icmp_seq=416 ttl=64 time=9.78 ms
64 bytes from 10.0.0.2: icmp_seq=417 ttl=64 time=7.56 ms
64 bytes from 10.0.0.2: icmp_seq=418 ttl=64 time=11.8 ms
64 bytes from 10.0.0.2: icmp_seq=419 ttl=64 time=15.3 ms
64 bytes from 10.0.0.2: icmp_seq=420 ttl=64 time=10.7 ms
64 bytes from 10.0.0.2: icmp_seq=422 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=424 ttl=64 time=8.10 ms
64 bytes from 10.0.0.2: icmp_seq=425 ttl=64 time=5.97 ms
64 bytes from 10.0.0.2: icmp_seq=426 ttl=64 time=13.9 ms
64 bytes from 10.0.0.2: icmp_seq=427 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_seq=428 ttl=64 time=13.6 ms
64 bytes from 10.0.0.2: icmp_seq=430 ttl=64 time=8.78 ms
64 bytes from 10.0.0.2: icmp_seq=431 ttl=64 time=12.7 ms
64 bytes from 10.0.0.2: icmp_seq=432 ttl=64 time=9.11 ms
64 bytes from 10.0.0.2: icmp_seq=433 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=434 ttl=64 time=18.2 ms
64 bytes from 10.0.0.2: icmp_seq=437 ttl=64 time=5.42 ms
64 bytes from 10.0.0.2: icmp_seq=438 ttl=64 time=10.9 ms
64 bytes from 10.0.0.2: icmp_seq=439 ttl=64 time=13.1 ms
64 bytes from 10.0.0.2: icmp_seq=440 ttl=64 time=9.71 ms
64 bytes from 10.0.0.2: icmp_seq=441 ttl=64 time=9.06 ms
64 bytes from 10.0.0.2: icmp_seq=444 ttl=64 time=19.9 ms
64 bytes from 10.0.0.2: icmp_seq=445 ttl=64 time=7.92 ms
64 bytes from 10.0.0.2: icmp_seq=447 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=448 ttl=64 time=8.83 ms
64 bytes from 10.0.0.2: icmp_seq=449 ttl=64 time=6.18 ms
64 bytes from 10.0.0.2: icmp_seq=451 ttl=64 time=13.8 ms
64 bytes from 10.0.0.2: icmp_seq=452 ttl=64 time=13.7 ms
64 bytes from 10.0.0.2: icmp_seq=454 ttl=64 time=12.3 ms
64 bytes from 10.0.0.2: icmp_seq=456 ttl=64 time=13.0 ms
64 bytes from 10.0.0.2: icmp_seq=457 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=458 ttl=64 time=5.45 ms
64 bytes from 10.0.0.2: icmp_seq=460 ttl=64 time=7.98 ms
64 bytes from 10.0.0.2: icmp_seq=462 ttl=64 time=3.75 ms
64 bytes from 10.0.0.2: icmp_seq=463 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_seq=464 ttl=64 time=6.83 ms
64 bytes from 10.0.0.2: icmp_seq=467 ttl=64 time=11.9 ms
64 bytes from 10.0.0.2: icmp_seq=468 ttl=64 time=19.4 ms
64 bytes from 10.0.0.2: icmp_seq=469 ttl=64 time=9.54 ms
64 bytes from 10.0.0.2: icmp_seq=470 ttl=64 time=7.99 ms
64 bytes from 10.0.0.2: icmp_seq=472 ttl=64 time=12.9 ms
64 bytes from 10.0.0.2: icmp_seq=473 ttl=64 time=7.99 ms
64 bytes from 10.0.0.2: icmp_seq=474 ttl=64 time=10.9 ms
64 bytes from 10.0.0.2: icmp_seq=475 ttl=64 time=8.70 ms
64 bytes from 10.0.0.2: icmp_seq=477 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=478 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_seq=482 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_seq=483 ttl=64 time=8.19 ms
64 bytes from 10.0.0.2: icmp_seq=485 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=486 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=487 ttl=64 time=11.8 ms
64 bytes from 10.0.0.2: icmp_seq=488 ttl=64 time=8.65 ms
64 bytes from 10.0.0.2: icmp_seq=489 ttl=64 time=10.9 ms
64 bytes from 10.0.0.2: icmp_seq=490 ttl=64 time=16.6 ms
64 bytes from 10.0.0.2: icmp_seq=491 ttl=64 time=8.55 ms
